Technology_name_OSeMOSYS,Technology,CF,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SOMG,Comm PV,0.14,2675.005818,2675.005818,2675.005818,2675.005818,2675.005818,2036.014115,1877.453743,1774.012765,1660.22769,1587.819006,1538.545102,1489.271198,1439.997294,1390.72339,1341.449487,1292.175583,1242.901679,1193.627775,1144.353871,1133.571007,1122.788142,1112.005278,1101.222413,1090.439549,1079.656684,1068.87382,1058.090955,1047.308091,1036.525226
SOMG,Comm PV,0.16,2675.005818,2675.005818,2675.005818,2675.005818,2675.005818,2036.014115,1877.453743,1774.012765,1660.22769,1587.819006,1538.545102,1489.271198,1439.997294,1390.72339,1341.449487,1292.175583,1242.901679,1193.627775,1144.353871,1133.571007,1122.788142,1112.005278,1101.222413,1090.439549,1079.656684,1068.87382,1058.090955,1047.308091,1036.525226
SOMG,Comm PV,0.17,2675.005818,2675.005818,2675.005818,2675.005818,2675.005818,2036.014115,1877.453743,1774.012765,1660.22769,1587.819006,1538.545102,1489.271198,1439.997294,1390.72339,1341.449487,1292.175583,1242.901679,1193.627775,1144.353871,1133.571007,1122.788142,1112.005278,1101.222413,1090.439549,1079.656684,1068.87382,1058.090955,1047.308091,1036.525226
SOMG,Comm PV,0.2,2675.005818,2675.005818,2675.005818,2675.005818,2675.005818,2036.014115,1877.453743,1774.012765,1660.22769,1587.819006,1538.545102,1489.271198,1439.997294,1390.72339,1341.449487,1292.175583,1242.901679,1193.627775,1144.353871,1133.571007,1122.788142,1112.005278,1101.222413,1090.439549,1079.656684,1068.87382,1058.090955,1047.308091,1036.525226
SOPV,PV,0.13,3782.04,3782.04,3782.04,3782.04,3782.04,2897.38,2725.58,2586.78,2305.81,2115.79,2011.07,1946.36,1881.64,1816.93,1752.21,1687.5,1622.78,1558.07,1493.35,1468.02,1442.68,1417.35,1392.01,1366.68,1341.34,1316.01,1290.67,1265.34,1240
SOPV,PV,0.15,3782.04,3782.04,3782.04,3782.04,3782.04,2897.38,2725.58,2586.78,2305.81,2115.79,2011.07,1946.36,1881.64,1816.93,1752.21,1687.5,1622.78,1558.07,1493.35,1468.02,1442.68,1417.35,1392.01,1366.68,1341.34,1316.01,1290.67,1265.34,1240
SOPV,PV,0.16,3782.04,3782.04,3782.04,3782.04,3782.04,2897.38,2725.58,2586.78,2305.81,2115.79,2011.07,1946.36,1881.64,1816.93,1752.21,1687.5,1622.78,1558.07,1493.35,1468.02,1442.68,1417.35,1392.01,1366.68,1341.34,1316.01,1290.67,1265.34,1240
SOPV,PV,0.18,3782.04,3782.04,3782.04,3782.04,3782.04,2897.38,2725.58,2586.78,2305.81,2115.79,2011.07,1946.36,1881.64,1816.93,1752.21,1687.5,1622.78,1558.07,1493.35,1468.02,1442.68,1417.35,1392.01,1366.68,1341.34,1316.01,1290.67,1265.34,1240
SOPV,PV,0.21,3782.04,3782.04,3782.04,3782.04,3782.04,2897.38,2725.58,2586.78,2305.81,2115.79,2011.07,1946.36,1881.64,1816.93,1752.21,1687.5,1622.78,1558.07,1493.35,1468.02,1442.68,1417.35,1392.01,1366.68,1341.34,1316.01,1290.67,1265.34,1240
8h,Battery,8,4070,4070,4070,4070,3829.111258,3588.222516,3347.333775,3106.445033,2865.556291,2758.710204,2651.864116,2545.018029,2438.171942,2331.325855,2286.813907,2242.301959,2197.790011,2153.278064,2108.766116,2081.362161,2053.958206,2026.554251,1999.150296,1971.746341,1953.424558,1935.102774,1916.780991,1898.459208,1880.137425
13h,Battery,13,6195,6195,6195,6195,5810.367623,5425.735246,5041.102869,4656.470492,4271.838115,4105.025052,3938.211989,3771.398925,3604.585862,3437.772799,3372.252712,3306.732626,3241.212539,3175.692453,3110.172366,3072.452768,3034.733169,2997.013571,2959.293972,2921.574374,2898.613305,2875.652235,2852.691166,2829.730097,2806.769028
