Country,OBJECTID *,GHI,WindCF,VariableCostWind,FixedCostWind,VariableCostPV,FixedCostPV,VariableCostSOMG,FixedCostSOMG,VariableCostPV4h,FixedCostPV4h,VariableCostPV8h,FixedCostPV8h,OperationalLifeWind,OperationalLifePV,OperationalLifeSOMG,OperationalLifePV4h,OperationalLifePV8h,Diesel_transport
Kenya,37,0.185799871,0.16620188,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.186890407
Kenya,38,0.18601067,0.200315996,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180726002
Kenya,39,0.186783567,0.26149649,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.176917259
Kenya,40,0.187968397,0.34743855,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.17873266
Kenya,41,0.187840526,0.376367492,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.181877841
Kenya,42,0.187301209,0.397903667,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180899141
Kenya,43,0.188545665,0.42462541,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179731791
Kenya,44,0.189452891,0.432561356,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.183718917
Kenya,45,0.189476555,0.371255251,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.18609359
Kenya,46,0.189115692,0.321980741,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.18570432
Kenya,47,0.188374376,0.287663109,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.180811551
Kenya,48,0.189028018,0.268541411,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179126159
Kenya,49,0.190211569,0.256827163,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.178483788
Kenya,50,0.190934144,0.256707165,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.183147374
Kenya,51,0.191559962,0.260112204,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.18135929
Kenya,52,0.19219788,0.270944787,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.179029287
Kenya,53,0.19266338,0.281189492,0,47,0,11,0,9,0.570791667,18.8,0.570791667,18.8,25,15,30,15,15,4.17837358
